prime_recipient,award_amount,sub_recipient,address1,address2,address3,city,state,zip,county,district,award_number,award_type,award_description,sub_award,spent_to_date,project_description,project_status,spending_category,category_description
ORGANIZED VILLAGE OF KAKE,1603300.46,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,521496.1101,,,,,
ORGANIZED VILLAGE OF KASAAN,452464.39,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,452464.39,,,,,
ORGANIZED VILLAGE OF KWETHLUK,2699158.87,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,2687749.31,,,,,
ORGANIZED VILLAGE OF SAXMAN,788402.17,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,788402.1701,,,,,
ORUTSARARMIUT TRADITIONAL NATIVE COUNCIL,14458553.81,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,14458553.81,,,,,
OSCARVILLE TRADITIONAL COUNCIL,262027.1,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,180232.74,,,,,
OUNALASHKA CORPORATION,361500.18,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,361500.18,,,,,
"PAIMIUT, NATIVE VILLAGE OF",201985.13,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,201985.13,,,,,
PAULOFF HARBOR VILLAGE,151192.76,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,151192.76,,,,,
PETERSBURG INDIAN ASSOCIATION,1168637.04,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1168637.04,,,,,
PILOT STATION TRADITIONAL VILLAGE,2222832.35,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,2173481.53,,,,,
PLATINUM TRADITIONAL VILLAGE,209079.01,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,18624.05,,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,203 KOMBUCHA,1150 S Colony Way Ste 3 PMB PMB562,,,Palmer,AK,99645-6972,AK-MATANUSKA-SUSITNA,AK00,202360,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",51481.06,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,203 KOMBUCHA,1150 S Colony Way Ste 3 PMB PMB562,,,Palmer,AK,99645-6972,AK-MATANUSKA-SUSITNA,AK00,202360,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",51481.06,51481.06,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,2H INC.,3317 Jerde Cir,,,Anchorage,AK,99504-3860,AK-ANCHORAGE,AK00,202462,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",63016.59,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,2H INC.,3317 Jerde Cir,,,Anchorage,AK,99504-3860,AK-ANCHORAGE,AK00,202462,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",63016.59,63016.59,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,3J AND P CORP,919 E Dimond Blvd,,,Anchorage,AK,99515-2007,AK-ANCHORAGE,AK00,202376,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,3J AND P CORP,919 E Dimond Blvd,,,Anchorage,AK,99515-2007,AK-ANCHORAGE,AK00,202376,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,907 ALEHOUSE LLC,8001 Old Seward Hwy,,,Anchorage,AK,99518-3348,AK-ANCHORAGE,AK00,200641,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,907 ALEHOUSE LLC,8001 Old Seward Hwy,,,Anchorage,AK,99518-3348,AK-ANCHORAGE,AK00,200641,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,907 ICE LLC,PO BOX 876194,,,Wasilla,AK,99687-6194,AK-MATANUSKA-SUSITNA,AK00,201542,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",85250.15,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,907 ICE LLC,PO BOX 876194,,,Wasilla,AK,99687-6194,AK-MATANUSKA-SUSITNA,AK00,201542,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",85250.15,85250.15,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,A POOLE INC.,PO BOX 1026,,,Cordova,AK,99574-1026,AK-VALDEZ CORDOVA,AK00,204282,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,A POOLE INC.,PO BOX 1026,,,Cordova,AK,99574-1026,AK-VALDEZ CORDOVA,AK00,204282,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,A T PUBLISHING INC,1720 Abbott Rd,,,Anchorage,AK,99507-3443,AK-ANCHORAGE,AK00,202087,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,A T PUBLISHING INC,1720 Abbott Rd,,,Anchorage,AK,99507-3443,AK-ANCHORAGE,AK00,202087,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,A TOUCH OF HOME CHILDCARE & LEARNING CENTER LLC,260 E Nelson Ave,,,Wasilla,AK,99654-6460,AK-MATANUSKA-SUSITNA,AK00,,DIRECT,,52000.00005,52000.0,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,A TOUCH OF HOME CHILDCARE & LEARNING CENTER LLC,260 E Nelson Ave,,,Wasilla,AK,99654-6460,AK-MATANUSKA-SUSITNA,AK00,,DIRECT,,52000.00005,52000.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Fully completed,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,A TOUCH OF HOME CHILDCARE & LEARNING CENTER LLC,260 E Nelson Ave,,,Wasilla,AK,99654-6460,AK-MATANUSKA-SUSITNA,AK00,,DIRECT,,52000.00005,-52000.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Not started,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AA. MILLER FISHERIES, LLC",244 Bighill Rd,,,Naselle,WA,98638-8550,WA-WAHKIAKUM,WA03,200839,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",75415.2,75415.2,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,AAUR LLC,1105 E Klatt Rd,,,Anchorage,AK,99515-3542,AK-ANCHORAGE,AK00,201331,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",65292.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,AAUR LLC,1105 E Klatt Rd,,,Anchorage,AK,99515-3542,AK-ANCHORAGE,AK00,201331,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",65292.0,65292.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ABOU EID INC,PO BOX 26,,,Red Devil,AK,99656-0026,AK-BETHEL,AK00,200399,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ABOVE ALASKA AVIATION, LLC",PO BOX 821,,,Talkeetna,AK,99676-0821,AK-MATANUSKA-SUSITNA,AK00,202665,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",73645.49,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ABOVE ALASKA AVIATION, LLC",PO BOX 821,,,Talkeetna,AK,99676-0821,AK-MATANUSKA-SUSITNA,AK00,202665,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",73645.49,73645.49,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ACCESS SEAFOOD LLC,865 Peterson Rd,,,Burlington,WA,98233-2665,WA-SKAGIT,WA02,203156,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ACCESS SEAFOOD LLC,865 Peterson Rd,,,Burlington,WA,98233-2665,WA-SKAGIT,WA02,203156,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ACUPUNCTURE & WELLNESS OF CORDOVA, LLC",PO BOX 2196,,,Cordova,AK,99574-2196,AK-VALDEZ CORDOVA,AK00,200042,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",91578.32,91578.32,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ADAK, CITY OF",100 Mechanical St Ste B122,,,Adak,AK,99546-9800,AK-ALEUTIANS WEST,AK00,20-CRF-001,GRANT,Community assistance grant.,855718.11,0.0,,,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ADAK, CITY OF",100 Mechanical St Ste B122,,,Adak,AK,99546-9800,AK-ALEUTIANS WEST,AK00,20-CRF-001,GRANT,Community assistance grant.,855718.11,31425.06,,,Improve Telework Capabilities of Public Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ADAK, CITY OF",100 Mechanical St Ste B122,,,Adak,AK,99546-9800,AK-ALEUTIANS WEST,AK00,20-CRF-001,GRANT,Community assistance grant.,855718.11,219816.74,,,Public Health Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ADAK, CITY OF",100 Mechanical St Ste B122,,,Adak,AK,99546-9800,AK-ALEUTIANS WEST,AK00,20-CRF-001,GRANT,Community assistance grant.,855718.11,1916.49,,,Items Not Listed Above,COVID-19 compliance measures
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ADAK, CITY OF",100 Mechanical St Ste B122,,,Adak,AK,99546-9800,AK-ALEUTIANS WEST,AK00,20-CRF-001,GRANT,Community assistance grant.,855718.11,230417.41,,,Medical Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ADAK, CITY OF",100 Mechanical St Ste B122,,,Adak,AK,99546-9800,AK-ALEUTIANS WEST,AK00,20-CRF-001,GRANT,Community assistance grant.,855718.11,16921.18,,,Food Programs,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ADAK, CITY OF",100 Mechanical St Ste B122,,,Adak,AK,99546-9800,AK-ALEUTIANS WEST,AK00,20-CRF-001,GRANT,Community assistance grant.,855718.11,232957.61,,,Budgeted Personnel and Services Diverted to a Substantially Different Use,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ADAK, CITY OF",100 Mechanical St Ste B122,,,Adak,AK,99546-9800,AK-ALEUTIANS WEST,AK00,20-CRF-001,GRANT,Community assistance grant.,855718.11,11616.77,,,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ADAK, CITY OF",100 Mechanical St Ste B122,,,Adak,AK,99546-9800,AK-ALEUTIANS WEST,AK00,20-CRF-001,GRANT,Community assistance grant.,855718.11,107363.59,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ADAK, CITY OF",100 Mechanical St Ste B122,,,Adak,AK,99546-9800,AK-ALEUTIANS WEST,AK00,20-CRF-001,GRANT,Community assistance grant.,855718.11,-1916.49,,,Items Not Listed Above,Public Health expenses moved to appropriate category
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ADAK, CITY OF",100 Mechanical St Ste B122,,,Adak,AK,99546-9800,AK-ALEUTIANS WEST,AK00,20-CRF-001,GRANT,Community assistance grant.,855718.11,5199.75,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ADVANCED PLACEMENT AVIATION,PO BOX 770748,,,Eagle River,AK,99577-0748,AK-ANCHORAGE,AK00,203093,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",58011.83,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ADVANCED PLACEMENT AVIATION,PO BOX 770748,,,Eagle River,AK,99577-0748,AK-ANCHORAGE,AK00,203093,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",58011.83,58011.83,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,AJS INVESTMENTS LLC,120 W Bunnell Ave,,,Homer,AK,99603-7825,AK-KENAI PENINSULA,AK00,201258,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,AK KIDS INC,PO BOX 1954,,,Kenai,AK,99611-1954,AK-KENAI PENINSULA,AK00,,DIRECT,,51000.00005,51000.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Fully completed,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,AK KIDS INC,PO BOX 1954,,,Kenai,AK,99611-1954,AK-KENAI PENINSULA,AK00,,DIRECT,,51000.00005,-51000.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Not started,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,AK KIDS INC,PO BOX 1954,,,Kenai,AK,99611-1954,AK-KENAI PENINSULA,AK00,,DIRECT,,51000.00005,51000.0,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,AK OUTFITTER SERVICE,PO BOX 1696,,,Kodiak,AK,99615-1696,AK-KODIAK ISLAND,AK00,200417,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AKHIOK, CITY OF",PO BOX 5050,,,Akhiok,AK,99615-5050,AK-KODIAK ISLAND,AK00,20-CRF-002,GRANT,Community assistance grant.,101445.85,94326.95,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Public Health Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AKHIOK, CITY OF",PO BOX 5050,,,Akhiok,AK,99615-5050,AK-KODIAK ISLAND,AK00,20-CRF-002,GRANT,Community assistance grant.,101445.85,0.0,,,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AKHIOK, CITY OF",PO BOX 5050,,,Akhiok,AK,99615-5050,AK-KODIAK ISLAND,AK00,20-CRF-002,GRANT,Community assistance grant.,101445.85,4600.0,,,Payroll for Public Health and Safety Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AKHIOK, CITY OF",PO BOX 5050,,,Akhiok,AK,99615-5050,AK-KODIAK ISLAND,AK00,20-CRF-002,GRANT,Community assistance grant.,101445.85,2518.9,,,Housing Support,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AKHIRE, INC.",721 Depot Dr,,,Anchorage,AK,99501-1615,AK-ANCHORAGE,AK00,21019,CONTRACT,"Program operator contract to temporary staff to review, and process grant applications and payments for emergency funding for local businesses under the AK CARES Program.",130107.77,0.0,,,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AKHIRE, INC.",721 Depot Dr,,,Anchorage,AK,99501-1615,AK-ANCHORAGE,AK00,21019,CONTRACT,"Program operator contract to temporary staff to review, and process grant applications and payments for emergency funding for local businesses under the AK CARES Program.",130107.77,65619.77,,,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AKHIRE, INC.",721 Depot Dr,,,Anchorage,AK,99501-1615,AK-ANCHORAGE,AK00,21019,CONTRACT,"Program operator contract to temporary staff to review, and process grant applications and payments for emergency funding for local businesses under the AK CARES Program.",130107.77,64488.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AKIAK, CITY OF",PO BOX 52058,,,Akiak,AK,99552-0058,AK-BETHEL,AK00,20-CRF-004,GRANT,Community assistance grant.,207555.72,0.0,,,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AKIAK, CITY OF",PO BOX 52058,,,Akiak,AK,99552-0058,AK-BETHEL,AK00,20-CRF-004,GRANT,Community assistance grant.,207555.72,249.99,,,Improve Telework Capabilities of Public Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AKIAK, CITY OF",PO BOX 52058,,,Akiak,AK,99552-0058,AK-BETHEL,AK00,20-CRF-004,GRANT,Community assistance grant.,207555.72,14158.5,,,Public Health Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AKIAK, CITY OF",PO BOX 52058,,,Akiak,AK,99552-0058,AK-BETHEL,AK00,20-CRF-004,GRANT,Community assistance grant.,207555.72,9210.34,,,Payroll for Public Health and Safety Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AKIAK, CITY OF",PO BOX 52058,,,Akiak,AK,99552-0058,AK-BETHEL,AK00,20-CRF-004,GRANT,Community assistance grant.,207555.72,136829.72,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AKIAK, CITY OF",PO BOX 52058,,,Akiak,AK,99552-0058,AK-BETHEL,AK00,20-CRF-004,GRANT,Community assistance grant.,207555.72,18103.34,,,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AKIAK, CITY OF",PO BOX 52058,,,Akiak,AK,99552-0058,AK-BETHEL,AK00,20-CRF-004,GRANT,Community assistance grant.,207555.72,9240.0,,,Housing Support,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"AKIAK, CITY OF",PO BOX 52058,,,Akiak,AK,99552-0058,AK-BETHEL,AK00,20-CRF-004,GRANT,Community assistance grant.,207555.72,4770.0,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Public Health Expenses,
