prime_recipient,sub_recipient,Location info,county,Award number,Award type,awards,Money spent to date,To be spent
"PUBLIC SAFETY, ALASKA DEPT OF",ADVANCED PLACEMENT AVIATION,PO BOX 770748 Eagle River AK 99577-0748,AK-ANCHORAGE,203093,GRANT,58011.83,58011.83,0
"PUBLIC SAFETY, ALASKA DEPT OF",AJS INVESTMENTS LLC,120 W Bunnell Ave Homer AK 99603-7825,AK-KENAI PENINSULA,201258,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",AK KIDS INC,PO BOX 1954 Kenai AK 99611-1954,AK-KENAI PENINSULA,,DIRECT,51000.00005,51000,0
"PUBLIC SAFETY, ALASKA DEPT OF",AK OUTFITTER SERVICE,PO BOX 1696 Kodiak AK 99615-1696,AK-KODIAK ISLAND,200417,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","AKHIOK, CITY OF",PO BOX 5050 Akhiok AK 99615-5050,AK-KODIAK ISLAND,20-CRF-002,GRANT,101445.85,101445.85,0
"PUBLIC SAFETY, ALASKA DEPT OF","AKHIRE, INC.",721 Depot Dr Anchorage AK 99501-1615,AK-ANCHORAGE,21019,CONTRACT,130107.77,130107.77,0
"PUBLIC SAFETY, ALASKA DEPT OF","AKIAK, CITY OF",PO BOX 52058 Akiak AK 99552-0058,AK-BETHEL,20-CRF-004,GRANT,207555.72,205233.67,2322.05
"PUBLIC SAFETY, ALASKA DEPT OF","ALAKANUK, CITY OF",PO BOX 167 Alakanuk AK 99554-0167,AK-KUSILVAK,20-CRF-006,GRANT,422587.37,422587.37,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKA ADVANCED DME, LLC",8371 Summerset Dr Anchorage AK 99518-2927,AK-ANCHORAGE,202154,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA ATHLETICS LLC,4142 Ingra St Anchorage AK 99503-6118,AK-ANCHORAGE,202000,GRANT,78840.62,78840.62,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKA AUTO RENTAL, INC.",PO BOX 80261 Fairbanks AK 99708-0261,AK-FAIRBANKS NORTH STAR,201481,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA AVIATION HERITAGE MUSEUM,4721 Aircraft Dr Anchorage AK 99502-1080,AK-ANCHORAGE,201442,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKA BAGEL ENTERPRISES, INC.",36 College Rd Ste 9W Fairbanks AK 99701-1704,AK-FAIRBANKS NORTH STAR,200873,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKA BOATS & PERMITS, INC.",PO BOX 505 Homer AK 99603-0505,AK-KENAI PENINSULA,203503,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKA CABARET, HOTEL, RESTAURANT & RETAILERS ASSOCIATION, INC.",1503 W 31st Ave Ste 102 Anchorage AK 99503-3682,AK-ANCHORAGE,200086,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKA CENTER FOR PEDIATRICS, LLC",2925 Debarr Rd Ste 230 Anchorage AK 99508-2959,AK-ANCHORAGE,201920,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKA CENTER FOR THE PERFORMING ARTS, INC.",621 W 6th Ave Anchorage AK 99501-2200,AK-ANCHORAGE,202876,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY, INCORPORATED.",9711 Kenai Spur Hwy Kenai AK 99611-7804,AK-KENAI PENINSULA,201987,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKA CHANNEL, INC., THE",PO BOX 100519 Anchorage AK 99510-0519,AK-ANCHORAGE,202150,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA CLUB INC,5201 E Tudor Rd Anchorage AK 99507-1220,AK-ANCHORAGE,,DIRECT,84000.00004,84000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA COASTAL MARINE SERVICE COMPANY,336 Kobuk Ct Soldotna AK 99669-7839,AK-KENAI PENINSULA,201665,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA COMPREHENSIVE DENTAL CENTER,936 E Westpoint Dr Wasilla AK 99654-7137,AK-MATANUSKA-SUSITNA,202829,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA COURT SYSTEM,123 4th St Juneau AK 99801-1162,AK-JUNEAU,,DIRECT,4185155.09,4185155.09,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA DEPARTMENT OF FISH AND GAME,1255 W 8th St Juneau AK 99801-1856,AK-JUNEAU,,DIRECT,135484.62,135484.62,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA DEPARTMENT OF LAW,1031 W 4th Ave Ste 200 Anchorage AK 99501-5903,AK-ANCHORAGE,,DIRECT,1667257.32,1667257.32,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA DISTRICT NAZARENE CAMP - CAMP MARANATHA,PO BOX 520999 Big Lake AK 99652-0999,AK-MATANUSKA-SUSITNA,203433,GRANT,66276.64,66276.64,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKA FAMILY HEALTH CENTERS, LLC",561 S Denali St Ste E Palmer AK 99645-6464,AK-MATANUSKA-SUSITNA,202415,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA FRISE FAMILY INC,500 E Benson Blvd Ste 109 Anchorage AK 99503-4148,AK-ANCHORAGE,,DIRECT,84000.00004,84000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA GLACIAL MUD CO. LLC,PO BOX 394 Cordova AK 99574-0394,AK-VALDEZ CORDOVA,201126,GRANT,82575.66,82575.66,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKA GLACIER PRODUCTS, LLC",28100 Denaina Elders Rd Chugiak AK 99567-5167,AK-ANCHORAGE,202326,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKA GOLD & RESORT, LLC",PO BOX 1567 Nome AK 99762-1567,AK-NOME,200481,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA HOTEL & LODGING ASSOCIATION,330 E 4th Ave Ste 201 Anchorage AK 99501-2605,AK-ANCHORAGE,200720,GRANT,53674.87,53674.87,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKA HOUSING INITIATIVES, INC",405 W 27th Ave Anchorage AK 99503-2612,AK-ANCHORAGE,201524,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKA ISLAND AIR, INC.",PO BOX 195 Togiak AK 99678-0195,AK-DILLINGHAM,203008,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,4000 Ambassador Dr Anchorage AK 99508-5909,AK-ANCHORAGE,FMS-605-235-21001,GRANT,11400000,11400000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA PACIFIC BEVERAGE COMPANY LLC,3401 Denali St Ste 202B Anchorage AK 99503-4001,AK-ANCHORAGE,203453,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKA PACKAGING LUMBER, LLC",400 N Sitka St Anchorage AK 99501-1737,AK-ANCHORAGE,203476,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA RESOURCE GROUP LLC,HC 89 BOX 8560 Talkeetna AK 99676-9705,AK-MATANUSKA-SUSITNA,202963,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA REVOLVING SUSHI CORPORATION,2017 Terrebonne Loop Anchorage AK 99502-7276,AK-ANCHORAGE,202423,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA SKYWAYS INC,4506 Lakeshore Dr Anchorage AK 99502-1065,AK-ANCHORAGE,202285,GRANT,62300.11,62300.11,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,3710 Woodland Dr Ste 1200 Anchorage AK 99517-2589,AK-ANCHORAGE,202036,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKA SOCIETY OF CERTIFIED PUBLIC ACCOUNTANTS, INC.",2600 Cordova St Ste 211 Anchorage AK 99503-2745,AK-ANCHORAGE,200998,GRANT,67874.89,67874.89,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA SOURCE TESTING LLC,520 W 58th Ave Ste A Anchorage AK 99518-1679,AK-ANCHORAGE,200850,GRANT,75745.76,75745.76,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA STATE CHAMBER OF COMMERCE,471 W 36th Ave Ste 200 Anchorage AK 99503-5853,AK-ANCHORAGE,200165,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA STATE FAIR INC,2075 Glenn Hwy Palmer AK 99645-6770,AK-MATANUSKA-SUSITNA,605-234-20003,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA STATE HOSPITAL & NURSING HOME ASC,4000 Ambassador Dr Anchorage AK 99508-5909,AK-ANCHORAGE,605-235-21001,GRANT,178500,178500,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA STATE MEDICAL ASSOCIATION,4107 Laurel St Anchorage AK 99508-5334,AK-ANCHORAGE,200052,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA STEEL AND DRYWALL SYSTEMS LLC,12300 Rockridge Dr Anchorage AK 99516-2497,AK-ANCHORAGE,200640,GRANT,62746.88,62746.88,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA TRAILER RENTALS LLC,6301 B St Anchorage AK 99518-1757,AK-ANCHORAGE,202905,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA TRANSPORTATION COMPANY LLC,PO BOX 5839 Bremerton WA 98312-0598,WA-KITSAP,202459,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA TRAVEL AND TRANSPORTATION LLC,PO BOX 5839 Bremerton WA 98312-0598,WA-KITSAP,202437,GRANT,73285.04,73285.04,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA TRAVEL BUREAU LLC,PO BOX 5839 Bremerton WA 98312-0598,WA-KITSAP,202466,GRANT,99294.79,99294.79,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKA TRAVEL INDUSTRY ASSOCIATION, INCORPORATED",610 E 5th Ave Ste 200 Anchorage AK 99501-2731,AK-ANCHORAGE,200005,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKA TRAVEL SOURCE, INC.",1236 E 72nd Ave Anchorage AK 99518-2370,AK-ANCHORAGE,201947,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA WEST SUPPLY INC,3905 Bea Avenue Dillingham AK 99576-1069,AK-DILLINGHAM,201223,GRANT,98444.43,98444.43,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA WHOLESALE BAKERY LLC,6361 Nielson Way Anchorage AK 99518-1714,AK-ANCHORAGE,202976,GRANT,92941.76,92941.76,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKA WILDLAND ADVENTURES INC.,PO BOX 389 Girdwood AK 99587-0389,AK-ANCHORAGE,202978,GRANT,90190.28,90190.28,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKA'S TASTE OF THAI II, LLC",11109 Old Seward Hwy Ste 6 Anchorage AK 99515-3097,AK-ANCHORAGE,201618,GRANT,99352.72,99352.72,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKALASH & AESTHETICS LLC,361 W Jack Fish Rd Wasilla AK 99654-0271,AK-MATANUSKA-SUSITNA,202361,GRANT,87355.72,87355.72,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKAN BOYS INC,PO BOX 100740 Anchorage AK 99510-0740,AK-ANCHORAGE,201457,GRANT,81899.97,81899.97,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKAN COYOTE, LLC",PO BOX 111846 Anchorage AK 99511-1846,AK-ANCHORAGE,202986,GRANT,95049.55,95049.55,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKAN DATA SOLUTIONS, LLC",1118 E 5th Ave Anchorage AK 99501-2759,AK-ANCHORAGE,200171,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALASKAN DESTINATIONS FISHING ADVENTURES LLC,PO BOX 1627 Soldotna AK 99669-1627,AK-KENAI PENINSULA,202671,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALASKAN LIGHTS, INC.",PO BOX 478 Healy AK 99743-0478,AK-DENALI,202904,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALDEBARAN LLC,PO BOX 455 Glennallen AK 99588-0455,AK-VALDEZ CORDOVA,201207,GRANT,99245.94,99245.94,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALEKNAGIK, CITY OF",PO BOX 33 Aleknagik AK 99555-0033,AK-DILLINGHAM,20-CRF-008,GRANT,340803.72,340803.72,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALEUT LADY LLC,PO BOX 108 False Pass AK 99583-0108,AK-ALEUTIANS EAST,201262,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALEUTIANS EAST BOROUGH,PO BOX 349 Sand Point AK 99661-0349,AK-ALEUTIANS EAST,20-CRF-009,GRANT,3723853.74,3490685.65,233168.09
"PUBLIC SAFETY, ALASKA DEPT OF",ALEXANDER LOPEZ FISHERIES CORPORATION,PO BOX 1648 Valdez AK 99686-1648,,203780,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALEXEI RAYVON M. OLEYER,PO BOX 90309 Anchorage AK 99509-0309,AK-ANCHORAGE,205257,GRANT,86023.41,86023.41,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALFA, LLC",35433 Kenai Spur Hwy Soldotna AK 99669-7625,AK-KENAI PENINSULA,200669,GRANT,90214.29,90214.29,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALFRED B CRATTY IV,3510 Eds Way Kodiak AK 99615-7167,AK-KODIAK ISLAND,200765,GRANT,79988.05,79988.05,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALL SEASONS PLUMBING & HEATING LLC,55156 Saber Ave E Fritz Creek AK 99603-9508,AK-KENAI PENINSULA,202021,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALL SEASONS SNOW REMOVAL AND LAWN CARE,2120 Jarvis Ave Anchorage AK 99515-4049,AK-ANCHORAGE,200619,GRANT,53996.88,53996.88,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALLAKAKET, CITY OF",PO BOX 30 Allakaket AK 99720-0030,AK-YUKON-KOYUKUK,20-CRF-010,GRANT,128544.68,70850,57694.68
"PUBLIC SAFETY, ALASKA DEPT OF",ALLEN FISHERIES,PO BOX 984 Valdez AK 99686-0984,,200609,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALTA PEARL FISHERIES,PO BOX 2328 Cordova AK 99574-2328,AK-VALDEZ CORDOVA,202167,GRANT,75698.54,75698.54,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALTAIR INTEGRATIVE WELLNESS INC.,3161 E Palmer Wasilla Hwy Ste 1C Wasilla AK 99654-7271,AK-MATANUSKA-SUSITNA,200137,GRANT,95891.5,95891.5,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALYESKA CANINE TRAINER OF SOUTH ANCHORAGE INC,549 W Intl Airport Rd Ste A15 Anchorage AK 99518-1166,AK-ANCHORAGE,201055,GRANT,50115.45,50115.45,0
"PUBLIC SAFETY, ALASKA DEPT OF","ALYESKA ELECTRONICS, LLC",3309 Spenard Rd Anchorage AK 99503-3707,AK-ANCHORAGE,202678,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ALYESKA FARMS LLC,PO BOX 1627 Soldotna AK 99669-1627,AK-KENAI PENINSULA,203136,GRANT,84732.21,84732.21,0
"PUBLIC SAFETY, ALASKA DEPT OF",AMANDA HENDERSON & DWAINE HENDERSON,297 W 5th Ave North Pole AK 99705-7832,AK-FAIRBANKS NORTH STAR,,DIRECT,109645,109645,0
"PUBLIC SAFETY, ALASKA DEPT OF",AMBER LUKIN J FLOAT FISHERIES LLC,PO BOX 1292 Cordova AK 99574-1292,AK-VALDEZ CORDOVA,203445,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","AMBLER, CITY OF",PO BOX 9 Ambler AK 99786-0009,AK-NORTHWEST ARCTIC,20-CRF-011,GRANT,191869.18,178932.23,12936.95
"PUBLIC SAFETY, ALASKA DEPT OF",AMY RAE LLC,PO BOX 2394 Cordova AK 99574-2394,AK-VALDEZ CORDOVA,203567,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ANAKTUVUK PASS, CITY OF",PO BOX 21030 Anaktuvuk Pass AK 99721-0030,AK-NORTH SLOPE,20-CRF-012,GRANT,199515.96,199515.96,0
"PUBLIC SAFETY, ALASKA DEPT OF",ANASTACIO OVCHINNIKOV,PO BOX 875663 Wasilla AK 99687-5663,AK-MATANUSKA-SUSITNA,204249,GRANT,82805.2,82805.2,0
"PUBLIC SAFETY, ALASKA DEPT OF",ANCHORAGE BAPTIST TEMPLE,6575 E Northern Lights Blvd Anchorage AK 99504-3384,AK-ANCHORAGE,,DIRECT,178000,178000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ANCHORAGE BUCS BASEBALL CLUB INC,435 W 10th Ave Ste B Anchorage AK 99501-3556,AK-ANCHORAGE,605-236-21001,GRANT,50000.00005,50000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ANCHORAGE CHAMBER OF COMMERCE,1016 W 6th Ave Ste 303 Anchorage AK 99501-1963,AK-ANCHORAGE,200183,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ANCHORAGE COMMUNITY YMCA,5353 Lake Otis Pkwy Anchorage AK 99507-1709,AK-ANCHORAGE,,DIRECT,504000,504000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ANCHORAGE GLACIER PILOTS, INC.",435 W 10th Ave Ste A Anchorage AK 99501-3556,AK-ANCHORAGE,201870,GRANT,92139.44,92139.44,0
"PUBLIC SAFETY, ALASKA DEPT OF",ANCHORAGE GYMNASTICS ASSOCIATION,525 W Potter Dr # 4 Anchorage AK 99518-1146,AK-ANCHORAGE,,DIRECT,120000,120000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ANCHORAGE MONTESSORI SCHOOL,5001 Northwood Dr Anchorage AK 99517-3147,AK-ANCHORAGE,,DIRECT,61600.00004,61600,0
"PUBLIC SAFETY, ALASKA DEPT OF",ANCHORAGE RE:MADE,13500 Old Seward Hwy Anchorage AK 99515-4007,AK-ANCHORAGE,202223,GRANT,67872,67872,0
"PUBLIC SAFETY, ALASKA DEPT OF","ANCHORAGE SKI CLUB, INC",5701 E 104th Ave Anchorage AK 99507-6844,AK-ANCHORAGE,200902,GRANT,90427.38,90427.38,0
"PUBLIC SAFETY, ALASKA DEPT OF","ANCHORAGE SPORTSPLEX, INC.",6501 Changepoint Dr Anchorage AK 99518-1580,AK-ANCHORAGE,202692,GRANT,93184.6,93184.6,0
"PUBLIC SAFETY, ALASKA DEPT OF",ANCHORAGE SYMPHONY ORCHESTRA INC,400 D St Ste 230 Anchorage AK 99501-2342,AK-ANCHORAGE,202418,GRANT,88449.51,88449.51,0
"PUBLIC SAFETY, ALASKA DEPT OF","ANCHORAGE, MUNICIPALITY OF",632 W 6th Ave Ste 840 Anchorage AK 99501-6312,AK-ANCHORAGE,20-CRF-013,GRANT,156713566,156371916.4,341649.64
"PUBLIC SAFETY, ALASKA DEPT OF","ANDERSON, CITY OF",260 W 1st St Anderson AK 99744-9800,AK-DENALI,20-CRF-014,GRANT,179138.83,179138.83,0
"PUBLIC SAFETY, ALASKA DEPT OF",ANDREAN KUSNETSOV,PO BOX 1355 Homer AK 99603-1355,AK-KENAI PENINSULA,204303,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ANDREW KALK,2908 Simpson Ave Juneau AK 99801-2052,AK-JUNEAU,203463,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ANDREW STEPANOFF JR,PO BOX 521914 Big Lake AK 99652-1914,AK-MATANUSKA-SUSITNA,202035,GRANT,86834.35,86834.35,0
"PUBLIC SAFETY, ALASKA DEPT OF",ANDREW TRESNESS,PO BOX 2046 Cordova AK 99574-2046,AK-VALDEZ CORDOVA,200475,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ANGOON, CITY OF",PO BOX 189 Angoon AK 99820-0189,AK-HOONAH-ANGOON,20-CRF-015,GRANT,241857.94,241857.94,0
"PUBLIC SAFETY, ALASKA DEPT OF","ANIAK, CITY OF",PO BOX 189 Aniak AK 99557-0189,AK-BETHEL,20-CRF-016,GRANT,297752.58,214805.96,82946.62
"PUBLIC SAFETY, ALASKA DEPT OF",ANTIDOTE,185 Lee Dr Homer AK 99603-7517,AK-KENAI PENINSULA,200236,GRANT,75902.37,75902.37,0
"PUBLIC SAFETY, ALASKA DEPT OF",ANTONIO ARENA (INDEPENDANT CONTRACTOR),14820 Kimberly Ln Fort Myers FL 33908-2343,FL-LEE,203778,GRANT,61509.36,61509.36,0
"PUBLIC SAFETY, ALASKA DEPT OF","ANVIK, CITY OF",PO BOX 50 Anvik AK 99558-0050,AK-YUKON-KOYUKUK,20-CRF-017,GRANT,101119.35,22004,79115.35
"PUBLIC SAFETY, ALASKA DEPT OF","ANVIL ROCK ENTERPRISES, INC",PO BOX 1002 Nome AK 99762-1002,AK-NOME,202384,GRANT,82653.02,82653.02,0
"PUBLIC SAFETY, ALASKA DEPT OF",ARAN ISLES LLC,1301 University St Helena MT 59601-6059,MT-LEWIS AND CLARK,200900,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ARCTERRA CONSULTING, INC",20441 Ptarmigan Blvd Eagle River AK 99577-8736,AK-ANCHORAGE,201994,GRANT,82035.75,82035.75,0
"PUBLIC SAFETY, ALASKA DEPT OF",ARCTIC (SERVICE) CENTER,4101 Arctic Blvd Ste 203 Anchorage AK 99503-5702,AK-ANCHORAGE,203459,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ARCTIC AIR, INC.",PO BOX 80107 Fairbanks AK 99708-0107,AK-FAIRBANKS NORTH STAR,202316,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ARCTIC CHIROPRACTIC DELTA,308 Old Steese Hwy Fairbanks AK 99701-3126,AK-FAIRBANKS NORTH STAR,203404,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ARCTIC ICE FISHERIES LLC,PO BOX 762 Seward AK 99664-0762,AK-KENAI PENINSULA,204152,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ARCTIC SOLAR VENTURES CORPORATION,2000 W Intl Airport Rd Ste B3 Anchorage AK 99502-1119,AK-ANCHORAGE,200440,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ARCTIC WILD LLC,PO BOX 80562 Fairbanks AK 99708-0562,AK-FAIRBANKS NORTH STAR,202908,GRANT,71092.58,71092.58,0
"PUBLIC SAFETY, ALASKA DEPT OF",ARROWDYNE SECURITY,PO BOX 230783 Anchorage AK 99523-0783,AK-ANCHORAGE,203403,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ASSOCIATED GENERAL CONTRACTORS OF ALASKA,8005 Schoon St Anchorage AK 99518-3045,AK-ANCHORAGE,200972,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ASSURED FISHERIES LLC,36130 North Fork Rd Anchor Point AK 99556-9155,AK-KENAI PENINSULA,201945,GRANT,76934.41,76934.41,0
"PUBLIC SAFETY, ALASKA DEPT OF","ASTORIA FISH COMPANY, LLC.",PO BOX 99 Egegik AK 99579-0099,AK-LAKE AND PENINSULA,200449,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",AUGUST KNUTSEN,11670 Wilderness Dr Anchorage AK 99516-2229,AK-ANCHORAGE,200622,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","AURORA CHARTERS, LLD",PO BOX 241 Seward AK 99664-0241,AK-KENAI PENINSULA,202873,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","AURORA TRANSPORTATION SERVICES, INC.",2530 E 79th Ave Anchorage AK 99507-2960,AK-ANCHORAGE,202076,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",AVRAAMY REUTOV (F/V RECOVERY),PO BOX 3207 Homer AK 99603-3207,AK-KENAI PENINSULA,202867,GRANT,77085.64,77085.64,0
"PUBLIC SAFETY, ALASKA DEPT OF",AVRAM KALUGIN,PO BOX 3046 Homer AK 99603-3046,AK-KENAI PENINSULA,201324,GRANT,69533.47,69533.47,0
"PUBLIC SAFETY, ALASKA DEPT OF",AXIOM DATA SCIENCE LLC,2010 Shore Dr Anchorage AK 99515-3137,AK-ANCHORAGE,202375,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",B&L MOTELS,2919 W Intl Airport Rd Anchorage AK 99502-1104,AK-ANCHORAGE,201356,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","BAILEY J,LLC",PO BOX 505 Sitka AK 99835-0505,AK-SITKA,205191,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",BAKER INC.,20700 44th Ave W Ste 210 Lynnwood WA 98036-7674,WA-SNOHOMISH,202798,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",BANBURY CONCRETE,12851 S Vivian Blvd Wasilla AK 99623-4977,AK-MATANUSKA-SUSITNA,202002,GRANT,82976.18,82976.18,0
"PUBLIC SAFETY, ALASKA DEPT OF","BARROW, CITY OF",PO BOX 629 Barrow AK 99723-0629,AK-NORTH SLOPE,20-CRF-022,GRANT,1791041.55,0,1791041.55
"PUBLIC SAFETY, ALASKA DEPT OF","BAUER CONSTRUCTION, INC.",PO BOX 875558 Wasilla AK 99687-5558,AK-MATANUSKA-SUSITNA,202344,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","BAY AREA CONSTRUCTION, INC.",19155 S Rex Bell Rd Wasilla AK 99623-5049,AK-MATANUSKA-SUSITNA,200264,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",BAY CLUB LLC,2395 Kachemak Dr Homer AK 99603-8021,AK-KENAI PENINSULA,201833,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","BAY SAFETY, LLC",PO BOX 2152 Homer AK 99603-2152,AK-KENAI PENINSULA,202230,GRANT,77078.1,77078.1,0
"PUBLIC SAFETY, ALASKA DEPT OF","BDO USA, LLP",3601 C St Suite 600 Anchorage AK 99503-5923,AK-ANCHORAGE,16104,CONTRACT,0,0,0
"PUBLIC SAFETY, ALASKA DEPT OF",BEAR COVE FISHERIES LLC,PO BOX 1183 Homer AK 99603-1183,AK-KENAI PENINSULA,202348,GRANT,57938.19,57938.19,0
